## Unknown:

  2045735225: 58729728
  2136437049: 58755841
  23H2_Enablement: 45796396
  27285228: 27285228
  2857311546: 60542452
  353735992: 54074203
  36554195__descriptor: 0
  38447371: 38447371
  39606579: 39606579
  40132362__descriptor: 0
  40782046: 40782046
  40979072: 40979072
  41121001: 41121001
  41356296: 41356296
  41981645: 41981645
  42905461: 42905461
  43698028: 43698028
  441392442: 60542424
  44533041: 44533041
  44571814: 44571814
  44573982: 44573982
  45888038: 45888038
  46104793: 46104793
  46348128: 46348128
  46375308: 46375308
  46702346: 46702346
  46832986: 46832986
  46956657: 46956657
  46956793: 46956793
  46956854: 46956854
  47051432: 47051432
  47205210: 47205210
  47942714: 47942714
  48103152: 48103152
  48385333: 48385333
  48506364: 48506364
  48694986: 48694986
  48797684: 48797684
  48909483: 48909483
  49221331: 49221331
  49289369: 49289369
  49402389: 49402389
  49686193: 49686193
  49720447: 49720447
  50047324: 50047324
  50179255: 50179255
  50284773: 50284773
  50484718: 50484718
  50902630: 50902630
  510914874: 60867289
  51215370: 51215370
  51450358: 51450358
  51450359: 51450359
  51540706: 51540706
  51549795: 51549795
  51718004: 51718004
  51742149__Feature_51742149: 0
  51742224__Feature_51742224: 0
  52265380: 52265380
  52265812: 52265812
  52487585: 52487585
  52580392: 52580392
  52754209: 52754209
  52926939: 52926939
  53086420: 53086420
  53094047: 53094047
  53100197: 53100197
  53148303: 53148303
  53188129: 53188129
  53427769: 53427769
  53427769__Feature_53427769: 0
  53693327: 53693327
  53693389: 53693389
  53798029__Feature_53798029: 0
  53852258: 53852258
  54049508: 54049508
  54125579: 54125579
  54322664: 54322664
  54358676: 54358676
  54492249: 54492249
  54629273: 54629273
  54701437__Feature_54701437: 0
  54702919: 54702919
  54842890: 54842890
  54865932: 54865932
  55116415: 55116415
  55161678: 55161678
  55357890: 55357890
  55366824: 55366824
  55367543: 55367543
  55368383: 55368383
  55374219: 55374219
  55411710: 55411710
  55463899: 55463899
  55463899__Feature_55463899: 0
  55480077: 55480077
  55495322: 55495322
  55593022: 55593022
  55707948: 55707948
  55709352: 55709352
  55730600__Feature_55730600: 0
  55740385: 55740385
  55753098: 55753098
  55795972: 55795972
  55802822: 55802822
  55927057: 55927057
  56038648: 56038648
  56049733: 56049733
  56078411__Feature_56078411: 0
  56108446: 56108446
  56113976: 56113976
  56197649: 56197649
  56208066: 56208066
  56314744__Feature_56314744: 0
  56347821: 56347821
  56354941: 56354941
  56370341: 56370341
  56405725: 56405725
  56444097: 56444097
  56457810: 56457810
  56460213: 56460213
  56484228: 56484228
  56489269: 56489269
  56664216: 56664216
  56769617: 56769617
  56778684: 56778684
  56809673: 56809673
  56834065: 56834065
  56843842__Feature_56843842: 0
  56847691__Feature_56847691: 0
  56892083: 56892083
  56899594: 56899594
  56906634: 56906634
  56960283: 56960283
  56962339: 56962339
  56990128: 56990128
  57059661: 57059661
  57156807: 57156807
  57156807__Feature_57156807: 0
  57204421: 57204421
  57205279: 57205279
  57244651__Feature_57244651: 0
  57247651: 57247651
  57259990: 57259990
  57259990__Feature_57259990: 0
  57302334: 57302334
  57320086: 57320086
  57336656: 57336656
  57359072: 57359072
  57370219: 57370219
  57383290: 57383290
  57383925: 57383925
  57394083: 57394083
  57405725: 57405725
  57452566: 57452566
  57456580: 57456580
  57471391: 57471391
  57514622: 57514622
  57544185: 57544185
  57606309: 57606309
  57606323: 57606323
  57629517: 57629517
  57670182: 57670182
  57670182__Feature_57670182: 0
  57739723: 57739723
  57747624: 57747624
  57751666: 57751666
  57751666__Feature_57751666: 0
  57751687: 57751687
  57799298__Feature_57799298: 0
  57874537: 57331446
  57882334: 57882334
  57895478: 57895478
  57913591: 57913591
  57938067__Feature_57938067: 0
  58048180__Feature_58048180: 0
  58065294: 58065294
  58132731: 58132731
  58146768: 58146768
  58201784__Feature_58201784: 0
  58205102: 58205102
  58205615: 58205615
  58221799: 58221799
  58274534: 58274534
  58291613: 58291613
  58304629: 58304629
  58324036: 58324036
  58345083: 58345083
  58355787: 58355787
  58355787__Feature_58355787: 0
  58368371: 58368371
  58368509: 58368509
  58393552: 58393552
  58407028: 58407028
  58448779: 58448779
  58461570: 58461570
  58527608__Feature_58527608: 0
  58572797: 58572797
  58600201: 58600201
  58600201__Feature_58600201: 0
  58633503: 58633503
  58677192: 58677192
  58691703: 58691703
  58702581: 58702581
  58705419: 58705419
  58725153: 58725153
  58731382: 58731382
  58777042: 58777042
  58788260: 58788260
  58994121: 58994121
  59101797: 59101797
  59115991: 59115991
  59162552: 59162552
  59163525__Feature_59163525: 0
  59215879: 59215879
  59227329: 59227329
  59236692: 59236692
  59258373: 59258373
  59258505: 59258505
  59354443: 59354443
  59373048: 59373048
  59399197: 59399197
  59424891: 59424891
  59472144: 59472144
  59656602: 59656602
  59697564__Feature_59697564: 0
  59724049: 59724049
  59765208: 59765208
  59799270: 59799270
  59855993: 59855993
  59871740: 59871740
  59933344: 59933344
  59938328: 59938328
  60011020: 60011020
  60053877__Feature_60053877: 0
  60057250: 60057250
  60062523__Feature_60062523: 0
  60064795: 60064795
  60075240: 60075240
  60160960: 60160960
  60176508__Feature_60176508: 0
  60191229: 60191229
  60219445__Feature_60219445: 0
  60250342: 60250342
  60263122__Feature_60263122: 0
  60272347: 60272347
  60311650: 60311650
  60492426__Feature_60492426: 0
  60525251: 60525251
  60563313: 60563313
  60671115: 60671115
  60682682: 60682682
  60733596__Feature_60733596: 0
  60743859__Feature_60743859: 0
  60744860: 60744860
  60772353__Feature_60772353: 0
  60774716__Feature_60774716: 0
  60786302: 60786302
  60920971: 60920971
  60921059: 60921059
  60941862: 60941862
  60968487__Feature_60968487: 0
  60979126: 60979126
  60999485: 60999485
  61010143: 61010143
  61065666: 61065666
  61097525: 61097525
  61127852: 61127852
  61156309__Feature_61156309: 0
  61159592: 61159592
  61212244__Feature_61212244: 0
  61212655__Feature_61212655: 0
  61214098: 61214098
  61256536: 61256536
  61277116: 61277116
  61277255__Feature_61277255: 0
  61350212__Feature_61350212: 0
  61360337__Feature_61360337: 0
  61375193: 61375193
  61375193__Feature_61375193: 0
  61375204__Feature_61375204: 0
  61445631: 61445631
  61501855: 61501855
  61504011: 61504011
  61536486: 61536486
  61566872: 61566872
  61596623: 61596623
  61740744__Feature_61740744: 0
  799011131: 60864917
  843259193: 60542482
  AADToMicrosoftEntra: 44963667
  AEGVIF: 43483788
  AFXActionInvokeImprovedLogging__Feature_AFXActionInvokeImprovedLogging: 0
  AFXCloudCuration__Feature_AFXCloudCuration: 0
  AFXDeclarativeCustomEntities__Feature_AFXDeclarativeCustomEntities: 0
  AFXIsEnabled__Feature_AFXIsEnabled: 0
  AFXTIPFailureBug__Feature_AFXTIPFailureBug: 0
  AIActionCatalogPrechecks: 59193521
  AIActionCatalogPrechecks__Feature_AIActionCatalogPrechecks: 0
  AIEPerf_DisableWidgets: 59454647
  ALB: 28825948
  ARETelemetryImprovement__Feature_ARETelemetryImprovement: 0
  ARTest: 56939716
  ASUXPersistentShellHost__Feature_ASUXPersistentShellHost: 0
  ASUXSingleInstance__Feature_ASUXSingleInstance: 0
  ASUXTestReady__Feature_ASUXTestReady: 0
  ATT: 56324958
  AboutPageUIEnhancements: 59265307
  AboutPage_TopCard_V2: 60597402
  AccountAndRegionalPolicyEnforcement: 47557358
  AccountControl_BugFix2604__Feature_AccountControl_BugFix2604: 0
  AccountControl_EssentialsLaunch__Feature_AccountControl_EssentialsLaunch: 0
  AccountDialogOneSettingsConfig__Feature_AccountDialogOneSettingsConfig: 0
  AccountDialogPpeSource__Feature_AccountDialogPpeSource: 0
  AccountsGroup_FirstPartySilentEnumSecondarySSO: 12509893
  AcrylicTaskbar: 10698435
  ActionCenterInSoftLanding: 60962355
  ActionHelpDetailsUpdateBugFix__Feature_ActionHelpDetailsUpdateBugFix: 0
  ActionInvocationDismissOnAFXBug59996933__Feature_ActionInvocationDismissOnAFXBug59996933: 0
  ActionMenuAnimationEffectsSettingsBugFix__Feature_ActionMenuAnimationEffectsSettingsBugFix: 0
  ActionSelectionCommandBar__Feature_ActionSelectionCommandBar: 0
  ActionSelectionCustomization__Feature_ActionSelectionCustomization: 0
  ActionUIFasterCopilotSuggestion__Feature_ActionUIFasterCopilotSuggestion: 0
  ActivePivotSelectionFallback: 56048098
  AddLoggedInUserToFamilyRoster: 36462142
  AddPreloadCheckToOtherEnduserOobePages: 58706937
  AddPreloadCheckToOtherEnduserOobePages__Feature_AddPreloadCheckToOtherEnduserOobePages: 0
  AddStorageUnitsForChangeSizeDialog: 60955403
  AddZoomAppToManualCuration__Feature_AddZoomAppToManualCuration: 0
